case_name,case_url,filings,filed_date,state_ags,case_status,issue_area,executive_action,last_case_update
"National Association of the Deaf v. Trump (D.D.C.)

1:25-cv-01683",https://www.courtlistener.com/docket/70391563/national-association-of-the-deaf-v-trump/,Complaint,2025-05-28,,Government Action Temporarily Blocked,Civil Liberties and Rights,Accessibility,2025-11-13
"Perkins Coie LLP v. U.S. Department of Justice (D.D.C.)

1:25-cv-00716",https://www.courtlistener.com/docket/69725919/perkins-coie-llp-v-us-department-of-justice/,"Complaint

Amended Complaint

2025-04-29",2025-03-11,,Government Action Blocked,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2026-02-06
"Jenner & Block v. Department of Justice (D.D.C.)

1:25-cv-00916",https://www.courtlistener.com/docket/69807126/jenner-block-llp-v-us-department-of-justice/,Complaint,2025-03-28,,Government Action Blocked,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2026-02-06
"Wilmer Cutler Pickering Hale and Dorr v. Executive Office of the President (D.D.C.)

1:25-cv-00917",https://www.courtlistener.com/docket/69807328/wilmer-cutler-pickering-hale-and-dorr-llp-v-executive-office-of-the/,Complaint,2025-03-28,,Government Action Blocked,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2026-02-06
"Susman Godfrey LLP v. Executive Office of the President (D.D.C.)

1:25-cv-01107",https://www.courtlistener.com/docket/69881953/susman-godfrey-llp-v-executive-office-of-the-president/,Complaint,2025-04-11,,Government Action Blocked,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2026-02-06
"Zaid v. Executive Office of the President (D.D.C.)

1:25-cv-01365",https://www.courtlistener.com/docket/70139392/zaid-v-executive-office-of-the-president/,Complaint,2025-05-05,,Government Action Temporarily Blocked in Part; Temporary Block Denied in Part,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2026-02-06
"Doe et al v. EEOC (D.D.C.)

1:25-cv-01124",https://www.courtlistener.com/docket/69895267/doe-1-v-eeoc/,"Complaint

Amended Complaint

2025-05-16",2025-04-15,,Awaiting Court Ruling,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2025-06-26
"American Bar Association v. U.S. Department of Justice (D.D.C.)

1:25-cv-01263",https://www.courtlistener.com/docket/69934429/american-bar-association-v-us-department-of-justice/,Complaint,2025-04-23,,Case Closed/Dismissed in Favor of Government,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2025-07-17
"American Bar Association v. Trump (D.D.C.)

1:25-cv-01888",https://www.courtlistener.com/docket/70551899/american-bar-association-v-executive-office-of-the-president/,Complaint,2025-06-16,,Awaiting Court Ruling,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2025-06-16
"PFLAG, Inc. v. Trump (D. Md.)

8:25-cv-00337",https://www.courtlistener.com/docket/69614668/pflag-inc-v-donald-j-trump/,Complaint,2025-02-04,,Government Action Temporarily Blocked,Civil Liberties and Rights,Action Against Law Firms and Lawyers (Executive Order 14230 - Perkins Coie) (Executive Order 14246 - Jenner & Block) (Executive Order - WilmerHale) (Presidential Memorandum),2025-11-21
